  Disciplina,         Nome da disciplina,            Professor,Créd,Trm,Destino,Vag,Turno,Horário/ Unidade,Hr Dist.,SHF,Pré-Req,Depto
INF1821,PROJETO ORIENTADO I,COORDENADOR DE CURSO,1,3WA,QQC,10,I,GAVEA,0,2,SIM,INF
INF1822,PROJETO ORIENTADO II,COORDENADOR DE CURSO,2,3WA,QQC,10,I,GAVEA,0,4,NÃO,INF
INF1823,PROJETO ORIENTADO III,COORDENADOR DE CURSO,3,3WA,QQC,10,I,GAVEA,0,6,SIM,INF
INF1824,PROJETO ORIENTADO IV,COORDENADOR DE CURSO,4,3WA,QQC,10,I,GAVEA,0,8,SIM,INF
INF1920,ESTAGIO SUPERVISIONADO,MELISSA LEMOS CAVALIERE,1,3WA,QQC,30,I,GAVEA,0,11,SIM,INF
INF1950,PROJETO FINAL I,JOISA DE SOUZA OLIVEIRA,2,3WA,QQC,30,I,GAVEA,0,2,SIM,INF
INF1951,PROJETO FINAL II,JOISA DE SOUZA OLIVEIRA,2,3WA,QQC,30,I,GAVEA,0,2,SIM,INF
INF1005, PROGRAMACAO I ,HORISTA A CONTRATAR,4,33A,QQC,32,I,TER 14-16 BAR24 / BARRA  QUI 14-16 BAR22 / BARRA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,GUSTAVO COSTA GOMES MOREIRA,4,33B,QQC,13,I,TER 08-10 BAR24 / BARRA  QUI 08-10 BAR22 / BARRA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,CLAUDIA FERLIN,4,33C,QQC,0,I,TER 07-09 L546 / GAVEA  QUI 07-09 L150 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,PAULA YPIRANGA DOS GUARANYS,4,33D,QQC,0,I,TER 09-11 L150 / GAVEA  QUI 09-11 L546 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,CLAUDIA FERLIN,4,33E,QQC,0,I,TER 09-11 L546 / GAVEA  QUI 09-11 L150 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,HELIO CORTES VIEIRA LOPES,4,33F,QQC,4,I,TER 13-15 L456 / GAVEA  QUI 13-15 L270 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,CLAUDIA FERLIN,4,33H,QQC,1,I,TER 11-13 L252 / GAVEA  QUI 11-13 L150 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,SERGIO COLCHER,4,33I,QQC,19,I,TER 13-15 L270 / GAVEA  QUI 13-15 L546 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,CLAUDIA FERLIN,4,33J,QQC,0,I,TER 13-15 L546 / GAVEA  QUI 13-15 L428 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,PAULA YPIRANGA DOS GUARANYS,4,33K,QQC,1,I,TER 11-13 L160 / GAVEA  QUI 11-13 L258 / GAVEA  ,0,0,NÃO,UCB
INF1005, PROGRAMACAO I ,HUGO FUKS,4,33L,QQC,1,I,TER 15-17 L654 / GAVEA  QUI 15-17 L274 / GAVEA  ,0,0,NÃO,UCB
